id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
6092,-17661148,537902349,221992,2022,11,14,16,31,0
6093,-17661102,537902355,222009,2022,11,14,16,31,1
6094,-17661044,537902367,222071,2022,11,14,16,31,2
6095,-17660991,537902377,222035,2022,11,14,16,31,3
6096,-17660935,537902390,222029,2022,11,14,16,31,4
6097,-17660885,537902402,221949,2022,11,14,16,31,5
6098,-17660830,537902414,221867,2022,11,14,16,31,6
6099,-17660787,537902423,221927,2022,11,14,16,31,7
6100,-17660749,537902432,222035,2022,11,14,16,31,8
6101,-17660717,537902439,222107,2022,11,14,16,31,9
6102,-17660679,537902446,222167,2022,11,14,16,31,10
6103,-17660646,537902454,222224,2022,11,14,16,31,11
6104,-17660620,537902456,222182,2022,11,14,16,31,12
6105,-17660604,537902457,222283,2022,11,14,16,31,13
6106,-17660597,537902456,222374,2022,11,14,16,31,14
6107,-17660587,537902456,222344,2022,11,14,16,31,15
6108,-17660578,537902455,222458,2022,11,14,16,31,16
6109,-17660575,537902452,222590,2022,11,14,16,31,17
6110,-17660574,537902439,222674,2022,11,14,16,31,20
6111,-17660572,537902434,222792,2022,11,14,16,31,21
6112,-17660591,537902417,222855,2022,11,14,16,31,24
6113,-17660594,537902413,222899,2022,11,14,16,31,25
6114,-17660602,537902407,222898,2022,11,14,16,31,26
6115,-17660614,537902396,223027,2022,11,14,16,31,28
6116,-17660619,537902390,223010,2022,11,14,16,31,29
6117,-17660625,537902385,223036,2022,11,14,16,31,30
6118,-17660640,537902378,223083,2022,11,14,16,31,31
6119,-17660643,537902378,223023,2022,11,14,16,31,32
6120,-17660648,537902376,222982,2022,11,14,16,31,33
6121,-17660659,537902374,222941,2022,11,14,16,31,34
6122,-17660652,537902375,222810,2022,11,14,16,31,37
6123,-17660650,537902375,222864,2022,11,14,16,31,38
6124,-17660646,537902374,222836,2022,11,14,16,31,39
6125,-17660637,537902373,222855,2022,11,14,16,31,42
6126,-17660632,537902375,222896,2022,11,14,16,31,43
6127,-17660613,537902379,222990,2022,11,14,16,31,45
6128,-17660600,537902382,223027,2022,11,14,16,31,46
6129,-17660592,537902383,222985,2022,11,14,16,31,47
6130,-17660580,537902386,223026,2022,11,14,16,31,48
6131,-17660575,537902386,223098,2022,11,14,16,31,49
6132,-17660564,537902388,223128,2022,11,14,16,31,50
6133,-17660553,537902389,223151,2022,11,14,16,31,51
6134,-17660538,537902392,223106,2022,11,14,16,31,52
6135,-17660482,537902403,222914,2022,11,14,16,31,55
6136,-17660459,537902408,222897,2022,11,14,16,31,56
6137,-17660424,537902415,222789,2022,11,14,16,31,58
6138,-17660406,537902418,222744,2022,11,14,16,31,59
6139,-17660388,537902422,222616,2022,11,14,16,32,0
6140,-17660365,537902429,222561,2022,11,14,16,32,1
6141,-17660336,537902438,222457,2022,11,14,16,32,2
6142,-17660320,537902445,222220,2022,11,14,16,32,3
6143,-17660304,537902452,222147,2022,11,14,16,32,4
6144,-17660290,537902457,222149,2022,11,14,16,32,5
6145,-17660277,537902463,222239,2022,11,14,16,32,6
6146,-17660254,537902479,222273,2022,11,14,16,32,9
6147,-17660240,537902485,222228,2022,11,14,16,32,10
6148,-17660221,537902497,222249,2022,11,14,16,32,12
6149,-17660202,537902510,222079,2022,11,14,16,32,14
