id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:pDOP,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
0,-17656063,537903942,209508,186,2022,11,14,10,40,40
1,-17653799,537902779,290569,4303,2022,11,14,14,19,31
2,-17653535,537902663,290628,4297,2022,11,14,14,19,35
3,-17650333,537900759,294319,3648,2022,11,14,14,33,2
4,-17650100,537900904,294297,3647,2022,11,14,14,33,6
5,-17649632,537901164,294222,3644,2022,11,14,14,33,13
6,-17649559,537901199,294208,3644,2022,11,14,14,33,14
7,-17649490,537901231,294192,3643,2022,11,14,14,33,15
8,-17649431,537901260,294178,3643,2022,11,14,14,33,16
9,-17649372,537901288,294165,3643,2022,11,14,14,33,17
10,-17649320,537901311,294154,3642,2022,11,14,14,33,18
11,-17649274,537901332,294145,3642,2022,11,14,14,33,19
12,-17649229,537901349,294137,3642,2022,11,14,14,33,20
13,-17649186,537901364,294129,3641,2022,11,14,14,33,21
14,-17649149,537901378,294121,3641,2022,11,14,14,33,22
15,-17649106,537901390,294113,3640,2022,11,14,14,33,23
16,-17649070,537901398,294104,3640,2022,11,14,14,33,24
17,-17649038,537901402,294096,3640,2022,11,14,14,33,25
18,-17649010,537901399,294087,3639,2022,11,14,14,33,26
19,-17648993,537901392,294078,3639,2022,11,14,14,33,27
20,-17648981,537901382,294069,3639,2022,11,14,14,33,28
21,-17648969,537901368,294060,3638,2022,11,14,14,33,29
22,-17648958,537901354,294052,3638,2022,11,14,14,33,30
23,-17648949,537901336,294045,3638,2022,11,14,14,33,31
24,-17648941,537901319,294039,3637,2022,11,14,14,33,32
25,-17648934,537901303,294033,3637,2022,11,14,14,33,33
26,-17648929,537901268,294026,3636,2022,11,14,14,33,35
27,-17648922,537901254,294022,3636,2022,11,14,14,33,36
28,-17648914,537901243,294019,3636,2022,11,14,14,33,37
29,-17648900,537901235,294015,3635,2022,11,14,14,33,38
30,-17648870,537901235,294009,3635,2022,11,14,14,33,39
31,-17648840,537901234,294004,3635,2022,11,14,14,33,40
32,-17648809,537901233,293996,3634,2022,11,14,14,33,41
33,-17648776,537901234,293987,3634,2022,11,14,14,33,42
34,-17648742,537901235,293979,3633,2022,11,14,14,33,43
35,-17648683,537901232,293963,3633,2022,11,14,14,33,45
36,-17648663,537901228,293958,3632,2022,11,14,14,33,46
37,-17648658,537901218,293954,3632,2022,11,14,14,33,47
38,-17648671,537901202,293954,3632,2022,11,14,14,33,48
39,-17648694,537901178,293956,3631,2022,11,14,14,33,49
40,-17648726,537901151,293960,3631,2022,11,14,14,33,50
41,-17648761,537901125,293964,3631,2022,11,14,14,33,51
42,-17648806,537901094,293971,3630,2022,11,14,14,33,52
43,-17648845,537901066,293976,3630,2022,11,14,14,33,53
44,-17648889,537901036,293982,3630,2022,11,14,14,33,54
45,-17648918,537901013,293986,3629,2022,11,14,14,33,55
46,-17648955,537900981,293989,3629,2022,11,14,14,33,57
47,-17648953,537900976,293987,3628,2022,11,14,14,33,58
48,-17648956,537900969,293985,3628,2022,11,14,14,33,59
49,-17648954,537900964,293982,3628,2022,11,14,14,34,0
50,-17648953,537900960,293979,3627,2022,11,14,14,34,1
51,-17648949,537900957,293976,3627,2022,11,14,14,34,2
52,-17648945,537900954,293973,3627,2022,11,14,14,34,3
53,-17648933,537900949,293965,3626,2022,11,14,14,34,5
54,-17648930,537900944,293962,3626,2022,11,14,14,34,6
55,-17648945,537900929,293961,3626,2022,11,14,14,34,7
56,-17648967,537900914,293961,3625,2022,11,14,14,34,8
57,-17648992,537900898,293960,3625,2022,11,14,14,34,9
58,-17649023,537900879,293962,3625,2022,11,14,14,34,10
59,-17649063,537900855,293965,3624,2022,11,14,14,34,11
60,-17649082,537900845,293965,3624,2022,11,14,14,34,12
61,-17649137,537900813,293966,3624,2022,11,14,14,34,13
62,-17649161,537900800,293967,3623,2022,11,14,14,34,14
63,-17649182,537900790,293967,3623,2022,11,14,14,34,15
64,-17649219,537900769,293968,3623,2022,11,14,14,34,16
65,-17649218,537900770,293967,3622,2022,11,14,14,34,17
66,-17649249,537900750,293966,3622,2022,11,14,14,34,18
67,-17649327,537900704,293964,3622,2022,11,14,14,34,19
68,-17649324,537900707,293962,3621,2022,11,14,14,34,20
69,-17649274,537900737,293960,3621,2022,11,14,14,34,21
70,-17649265,537900739,293958,3621,2022,11,14,14,34,22
71,-17649314,537900706,293955,3620,2022,11,14,14,34,23
72,-17649310,537900705,293952,3620,2022,11,14,14,34,24
73,-17649290,537900713,293948,3620,2022,11,14,14,34,25
74,-17649277,537900716,293944,3620,2022,11,14,14,34,26
75,-17649306,537900693,293941,3619,2022,11,14,14,34,27
76,-17649267,537900709,293937,3619,2022,11,14,14,34,28
77,-17649244,537900717,293933,3619,2022,11,14,14,34,29
78,-17649280,537900688,293927,3618,2022,11,14,14,34,30
79,-17649302,537900669,293921,3618,2022,11,14,14,34,31
80,-17649332,537900645,293916,3618,2022,11,14,14,34,32
81,-17649312,537900647,293911,3617,2022,11,14,14,34,33
82,-17649284,537900656,293906,3617,2022,11,14,14,34,34
83,-17649324,537900626,293903,3617,2022,11,14,14,34,35
84,-17649380,537900589,293900,3616,2022,11,14,14,34,36
85,-17649423,537900558,293897,3616,2022,11,14,14,34,37
86,-17649471,537900527,293896,3616,2022,11,14,14,34,38
87,-17649493,537900509,293894,2163,2022,11,14,14,34,39
88,-17649506,537900500,293894,2171,2022,11,14,14,34,40
89,-17649502,537900497,293893,2178,2022,11,14,14,34,41
90,-17649526,537900480,293893,2185,2022,11,14,14,34,42
91,-17649549,537900466,293893,2192,2022,11,14,14,34,43
92,-17649571,537900449,293893,2200,2022,11,14,14,34,44
93,-17649591,537900431,293892,2207,2022,11,14,14,34,45
94,-17649611,537900412,293890,2214,2022,11,14,14,34,46
95,-17649628,537900393,293888,2222,2022,11,14,14,34,47
96,-17649639,537900377,293886,2229,2022,11,14,14,34,48
97,-17649502,537900447,293877,3613,2022,11,14,14,34,49
98,-17649440,537900471,293869,3612,2022,11,14,14,34,50
99,-17649306,537900543,293861,3612,2022,11,14,14,34,51
100,-17649207,537900593,293852,3612,2022,11,14,14,34,52
101,-17648981,537900715,293842,3611,2022,11,14,14,34,53
102,-17648851,537900781,293833,3611,2022,11,14,14,34,54
103,-17648634,537900897,293824,3611,2022,11,14,14,34,55
104,-17648540,537900944,293816,3611,2022,11,14,14,34,56
105,-17648371,537901037,293804,3610,2022,11,14,14,34,57
106,-17648155,537901157,293793,3610,2022,11,14,14,34,58
107,-17647981,537901252,293783,3610,2022,11,14,14,34,59
108,-17647868,537901315,293774,3609,2022,11,14,14,35,0
109,-17647759,537901376,293765,3609,2022,11,14,14,35,1
110,-17647621,537901455,293756,3609,2022,11,14,14,35,2
111,-17647508,537901516,293747,3608,2022,11,14,14,35,3
112,-17647436,537901548,293739,3608,2022,11,14,14,35,4
113,-17647404,537901564,293731,3608,2022,11,14,14,35,5
114,-17647388,537901567,293724,3608,2022,11,14,14,35,6
115,-17647400,537901557,293718,3607,2022,11,14,14,35,7
116,-17647424,537901536,293713,3607,2022,11,14,14,35,8
117,-17647452,537901517,293709,3607,2022,11,14,14,35,9
118,-17647486,537901494,293705,3607,2022,11,14,14,35,10
119,-17647515,537901475,293701,3606,2022,11,14,14,35,11
120,-17647544,537901457,293698,3606,2022,11,14,14,35,12
121,-17647553,537901448,293694,3606,2022,11,14,14,35,13
122,-17647564,537901441,293690,3605,2022,11,14,14,35,14
123,-17647557,537901444,293686,3605,2022,11,14,14,35,15
124,-17647510,537901470,293681,3605,2022,11,14,14,35,16
125,-17647500,537901476,293677,3605,2022,11,14,14,35,17
126,-17647469,537901495,293673,3604,2022,11,14,14,35,18
127,-17647449,537901509,293671,3604,2022,11,14,14,35,19
128,-17647439,537901515,293668,3604,2022,11,14,14,35,20
129,-17647445,537901513,293665,3603,2022,11,14,14,35,21
130,-17647465,537901505,293662,3603,2022,11,14,14,35,22
131,-17647488,537901495,293659,3603,2022,11,14,14,35,23
132,-17647535,537901472,293657,3603,2022,11,14,14,35,24
133,-17647600,537901437,293656,3602,2022,11,14,14,35,25
134,-17647673,537901394,293653,3602,2022,11,14,14,35,26
135,-17647755,537901348,293652,3602,2022,11,14,14,35,27
136,-17647836,537901303,293650,3602,2022,11,14,14,35,28
137,-17647954,537901239,293651,3601,2022,11,14,14,35,29
138,-17648064,537901182,293654,3601,2022,11,14,14,35,30
139,-17648150,537901140,293654,3601,2022,11,14,14,35,31
140,-17648210,537901113,293654,3600,2022,11,14,14,35,32
141,-17648251,537901097,293652,3600,2022,11,14,14,35,33
142,-17648262,537901097,293649,3600,2022,11,14,14,35,34
143,-17648267,537901102,293648,3600,2022,11,14,14,35,35
144,-17648271,537901111,293645,3599,2022,11,14,14,35,36
145,-17648291,537901122,293641,3599,2022,11,14,14,35,38
146,-17648307,537901120,293639,3599,2022,11,14,14,35,39
147,-17648344,537901106,293637,3598,2022,11,14,14,35,40
148,-17648405,537901080,293637,3598,2022,11,14,14,35,41
149,-17648478,537901048,293638,3598,2022,11,14,14,35,42
150,-17648645,537900972,293643,3597,2022,11,14,14,35,44
151,-17648736,537900929,293646,3597,2022,11,14,14,35,45
152,-17648814,537900891,293648,3597,2022,11,14,14,35,46
153,-17648878,537900863,293650,3597,2022,11,14,14,35,47
154,-17648934,537900840,293651,3596,2022,11,14,14,35,48
155,-17648980,537900821,293651,3596,2022,11,14,14,35,49
156,-17649023,537900801,293651,3596,2022,11,14,14,35,50
157,-17649050,537900787,293651,3596,2022,11,14,14,35,51
158,-17649071,537900775,293651,3595,2022,11,14,14,35,52
159,-17649084,537900767,293651,3595,2022,11,14,14,35,53
160,-17649098,537900760,293650,3595,2022,11,14,14,35,54
161,-17649116,537900752,293651,3595,2022,11,14,14,35,55
162,-17649128,537900746,293651,3594,2022,11,14,14,35,56
163,-17649150,537900734,293651,3594,2022,11,14,14,35,57
164,-17649170,537900724,293651,3594,2022,11,14,14,35,58
165,-17649188,537900713,293651,3594,2022,11,14,14,35,59
166,-17649213,537900699,293651,3593,2022,11,14,14,36,0
167,-17649244,537900682,293650,3593,2022,11,14,14,36,1
168,-17649278,537900663,293649,3593,2022,11,14,14,36,2
169,-17649315,537900642,293648,3593,2022,11,14,14,36,3
170,-17649364,537900616,293646,3592,2022,11,14,14,36,4
171,-17649409,537900590,293644,3592,2022,11,14,14,36,5
172,-17649453,537900565,293641,3592,2022,11,14,14,36,6
173,-17649488,537900544,293639,3592,2022,11,14,14,36,7
174,-17649535,537900516,293637,3591,2022,11,14,14,36,8
175,-17649613,537900473,293633,3591,2022,11,14,14,36,9
176,-17649705,537900419,293628,3591,2022,11,14,14,36,10
177,-17649698,537900418,293624,3591,2022,11,14,14,36,11
178,-17649715,537900404,293621,3590,2022,11,14,14,36,12
179,-17649787,537900360,293618,3590,2022,11,14,14,36,13
180,-17649755,537900371,293615,3590,2022,11,14,14,36,14
181,-17649761,537900360,293612,3590,2022,11,14,14,36,15
182,-17649858,537900300,293608,3589,2022,11,14,14,36,16
183,-17649928,537900254,293605,3589,2022,11,14,14,36,17
184,-17650045,537900182,293603,3589,2022,11,14,14,36,18
185,-17650198,537900092,293603,3589,2022,11,14,14,36,19
186,-17650333,537900012,293603,3588,2022,11,14,14,36,20
187,-17650503,537899915,293603,3588,2022,11,14,14,36,21
188,-17650669,537899821,293602,3588,2022,11,14,14,36,22
189,-17650827,537899731,293601,3588,2022,11,14,14,36,23
190,-17650999,537899634,293602,3587,2022,11,14,14,36,24
191,-17651143,537899554,293602,3587,2022,11,14,14,36,25
192,-17651299,537899467,293602,3587,2022,11,14,14,36,26
193,-17651445,537899386,293602,3587,2022,11,14,14,36,27
194,-17651539,537899334,293602,3587,2022,11,14,14,36,28
195,-17651636,537899280,293601,3586,2022,11,14,14,36,29
196,-17651738,537899223,293602,3586,2022,11,14,14,36,30
197,-17651831,537899173,293602,3586,2022,11,14,14,36,31
198,-17651899,537899136,293601,3586,2022,11,14,14,36,32
199,-17651956,537899107,293601,3585,2022,11,14,14,36,33
200,-17651996,537899087,293601,3585,2022,11,14,14,36,34
201,-17652016,537899075,293600,3585,2022,11,14,14,36,35
202,-17652025,537899068,293599,3585,2022,11,14,14,36,36
203,-17652017,537899069,293597,3584,2022,11,14,14,36,37
204,-17651997,537899079,293595,3584,2022,11,14,14,36,38
205,-17651966,537899097,293593,3584,2022,11,14,14,36,39
206,-17651918,537899124,293590,3584,2022,11,14,14,36,40
207,-17651855,537899160,293587,3584,2022,11,14,14,36,41
208,-17651768,537899209,293583,3583,2022,11,14,14,36,42
209,-17651695,537899251,293580,3583,2022,11,14,14,36,43
210,-17651638,537899286,293577,3583,2022,11,14,14,36,44
211,-17651582,537899321,293573,3583,2022,11,14,14,36,45
212,-17651531,537899353,293569,3582,2022,11,14,14,36,46
213,-17651489,537899377,293567,3582,2022,11,14,14,36,47
214,-17651444,537899405,293563,3582,2022,11,14,14,36,48
215,-17651383,537899439,293560,3582,2022,11,14,14,36,49
216,-17651341,537899468,293557,3582,2022,11,14,14,36,50
217,-17651297,537899496,293553,3581,2022,11,14,14,36,51
218,-17651256,537899521,293548,3581,2022,11,14,14,36,52
219,-17651226,537899540,293543,3581,2022,11,14,14,36,53
220,-17651199,537899557,293539,3581,2022,11,14,14,36,54
221,-17651164,537899576,293534,3580,2022,11,14,14,36,55
222,-17651130,537899596,293529,3580,2022,11,14,14,36,56
223,-17651096,537899616,293525,3580,2022,11,14,14,36,57
224,-17651038,537899650,293518,3580,2022,11,14,14,36,59
225,-17651012,537899666,293516,3579,2022,11,14,14,37,0
226,-17650982,537899688,293514,3579,2022,11,14,14,37,1
227,-17650957,537899709,293512,3579,2022,11,14,14,37,2
228,-17650931,537899729,293511,3579,2022,11,14,14,37,3
229,-17650907,537899749,293510,3579,2022,11,14,14,37,4
230,-17650883,537899769,293508,3578,2022,11,14,14,37,5
231,-17650863,537899786,293506,3578,2022,11,14,14,37,6
232,-17650837,537899806,293504,3578,2022,11,14,14,37,7
233,-17650793,537899843,293498,3578,2022,11,14,14,37,9
234,-17650770,537899860,293496,3577,2022,11,14,14,37,10
235,-17650750,537899876,293494,3577,2022,11,14,14,37,11
236,-17650734,537899889,293492,3577,2022,11,14,14,37,12
237,-17650716,537899903,293490,3577,2022,11,14,14,37,13
238,-17650698,537899915,293489,3576,2022,11,14,14,37,14
239,-17650685,537899925,293488,3576,2022,11,14,14,37,15
240,-17650670,537899934,293487,3576,2022,11,14,14,37,16
241,-17650654,537899942,293487,3576,2022,11,14,14,37,17
242,-17650631,537899952,293488,3576,2022,11,14,14,37,18
243,-17650613,537899960,293489,3575,2022,11,14,14,37,19
