id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
2350,-17657496,537903030,213551,2022,11,14,15,25,0
2351,-17657493,537903035,213560,2022,11,14,15,25,1
2352,-17657480,537903045,213489,2022,11,14,15,25,2
2353,-17657477,537903049,213504,2022,11,14,15,25,3
2354,-17657441,537903070,213275,2022,11,14,15,25,4
2355,-17657452,537903066,213382,2022,11,14,15,25,5
2356,-17657444,537903072,213353,2022,11,14,15,25,6
2357,-17657413,537903090,213164,2022,11,14,15,25,7
2358,-17657410,537903092,213190,2022,11,14,15,25,8
2359,-17657395,537903102,213130,2022,11,14,15,25,9
2360,-17657387,537903108,213110,2022,11,14,15,25,10
2361,-17657374,537903116,213063,2022,11,14,15,25,11
2362,-17657371,537903118,213092,2022,11,14,15,25,12
2363,-17657363,537903124,213083,2022,11,14,15,25,13
2364,-17657354,537903129,213068,2022,11,14,15,25,14
2365,-17657349,537903133,213068,2022,11,14,15,25,15
2366,-17657348,537903136,213101,2022,11,14,15,25,16
2367,-17657339,537903143,213067,2022,11,14,15,25,17
2368,-17657328,537903151,213005,2022,11,14,15,25,18
2369,-17657330,537903153,213036,2022,11,14,15,25,19
2370,-17657327,537903157,213018,2022,11,14,15,25,20
2371,-17657342,537903152,213130,2022,11,14,15,25,21
2372,-17657367,537903143,213306,2022,11,14,15,25,22
2373,-17657399,537903132,213534,2022,11,14,15,25,24
2374,-17657404,537903132,213581,2022,11,14,15,25,25
2375,-17657416,537903126,213696,2022,11,14,15,25,26
2376,-17657424,537903120,213865,2022,11,14,15,25,28
2377,-17657425,537903117,213952,2022,11,14,15,25,29
2378,-17657425,537903116,214020,2022,11,14,15,25,30
2379,-17657426,537903115,214085,2022,11,14,15,25,31
2380,-17657452,537903102,214319,2022,11,14,15,25,32
2381,-17657481,537903087,214566,2022,11,14,15,25,33
2382,-17657506,537903074,214792,2022,11,14,15,25,34
2383,-17657531,537903061,215012,2022,11,14,15,25,35
2384,-17657528,537903061,215049,2022,11,14,15,25,36
2385,-17657524,537903062,215058,2022,11,14,15,25,37
2386,-17657520,537903064,215058,2022,11,14,15,25,38
2387,-17657524,537903062,215117,2022,11,14,15,25,39
2388,-17657549,537903049,215310,2022,11,14,15,25,40
2389,-17657572,537903036,215485,2022,11,14,15,25,41
2390,-17657601,537903021,215700,2022,11,14,15,25,42
2391,-17657626,537903010,215889,2022,11,14,15,25,43
2392,-17657655,537902996,216099,2022,11,14,15,25,44
2393,-17657671,537902988,216215,2022,11,14,15,25,45
2394,-17657690,537902979,216339,2022,11,14,15,25,46
2395,-17657697,537902976,216380,2022,11,14,15,25,47
2396,-17657685,537902984,216286,2022,11,14,15,25,49
2397,-17657679,537902988,216238,2022,11,14,15,25,50
2398,-17657671,537902992,216197,2022,11,14,15,25,52
2399,-17657655,537903001,216095,2022,11,14,15,25,53
2400,-17657641,537903007,216020,2022,11,14,15,25,54
2401,-17657661,537902997,216197,2022,11,14,15,25,55
2402,-17657679,537902988,216346,2022,11,14,15,25,56
2403,-17657691,537902983,216444,2022,11,14,15,25,57
2404,-17657706,537902976,216557,2022,11,14,15,25,58
2405,-17657719,537902970,216660,2022,11,14,15,25,59
2406,-17657737,537902963,216777,2022,11,14,15,26,0
2407,-17657753,537902956,216897,2022,11,14,15,26,1
2408,-17657767,537902950,216990,2022,11,14,15,26,2
2409,-17657776,537902947,217040,2022,11,14,15,26,3
2410,-17657784,537902945,217062,2022,11,14,15,26,4
2411,-17657803,537902938,217145,2022,11,14,15,26,6
2412,-17657806,537902936,217149,2022,11,14,15,26,7
2413,-17657802,537902938,217112,2022,11,14,15,26,8
2414,-17657793,537902943,217014,2022,11,14,15,26,10
2415,-17657791,537902944,216991,2022,11,14,15,26,11
2416,-17657772,537902951,216906,2022,11,14,15,26,15
2417,-17657773,537902949,216935,2022,11,14,15,26,16
2418,-17657768,537902950,216904,2022,11,14,15,26,17
2419,-17657764,537902951,216886,2022,11,14,15,26,18
2420,-17657762,537902952,216887,2022,11,14,15,26,19
2421,-17657768,537902949,216915,2022,11,14,15,26,20
2422,-17657773,537902946,216933,2022,11,14,15,26,21
2423,-17657779,537902943,216947,2022,11,14,15,26,22
2424,-17657783,537902941,216946,2022,11,14,15,26,23
2425,-17657788,537902938,216958,2022,11,14,15,26,24
2426,-17657790,537902937,216941,2022,11,14,15,26,25
2427,-17657790,537902936,216933,2022,11,14,15,26,26
2428,-17657790,537902937,216921,2022,11,14,15,26,27
2429,-17657788,537902937,216902,2022,11,14,15,26,28
2430,-17657785,537902936,216893,2022,11,14,15,26,29
2431,-17657782,537902936,216876,2022,11,14,15,26,30
2432,-17657765,537902945,216761,2022,11,14,15,26,31
2433,-17657757,537902949,216716,2022,11,14,15,26,32
2434,-17657744,537902956,216647,2022,11,14,15,26,33
2435,-17657725,537902965,216533,2022,11,14,15,26,34
2436,-17657703,537902977,216413,2022,11,14,15,26,35
2437,-17657680,537902989,216280,2022,11,14,15,26,36
2438,-17657633,537903009,216049,2022,11,14,15,26,38
2439,-17657605,537903020,215905,2022,11,14,15,26,39
2440,-17657531,537903051,215488,2022,11,14,15,26,42
2441,-17657508,537903062,215360,2022,11,14,15,26,43
2442,-17657487,537903073,215231,2022,11,14,15,26,44
2443,-17657473,537903080,215138,2022,11,14,15,26,45
2444,-17657438,537903099,214897,2022,11,14,15,26,47
2445,-17657418,537903109,214767,2022,11,14,15,26,48
2446,-17657393,537903120,214601,2022,11,14,15,26,49
2447,-17657371,537903130,214476,2022,11,14,15,26,50
2448,-17657351,537903139,214349,2022,11,14,15,26,51
2449,-17657326,537903151,214178,2022,11,14,15,26,52
2450,-17657309,537903160,214052,2022,11,14,15,26,53
2451,-17657286,537903171,213902,2022,11,14,15,26,54
2452,-17657269,537903180,213782,2022,11,14,15,26,55
2453,-17657221,537903202,213490,2022,11,14,15,26,57
2454,-17657173,537903224,213191,2022,11,14,15,26,59
2455,-17657150,537903233,213035,2022,11,14,15,27,0
2456,-17657123,537903243,212831,2022,11,14,15,27,2
2457,-17657120,537903244,212781,2022,11,14,15,27,3
2458,-17657116,537903245,212717,2022,11,14,15,27,4
2459,-17657109,537903248,212629,2022,11,14,15,27,5
2460,-17657098,537903253,212511,2022,11,14,15,27,6
2461,-17657089,537903257,212423,2022,11,14,15,27,7
2462,-17657086,537903258,212364,2022,11,14,15,27,8
2463,-17657088,537903257,212342,2022,11,14,15,27,9
2464,-17657095,537903255,212361,2022,11,14,15,27,11
2465,-17657096,537903255,212363,2022,11,14,15,27,12
2466,-17657104,537903250,212420,2022,11,14,15,27,13
2467,-17657110,537903247,212456,2022,11,14,15,27,14
2468,-17657114,537903244,212505,2022,11,14,15,27,15
2469,-17657111,537903245,212495,2022,11,14,15,27,16
2470,-17657109,537903245,212495,2022,11,14,15,27,17
2471,-17657105,537903246,212480,2022,11,14,15,27,18
2472,-17657107,537903245,212501,2022,11,14,15,27,19
2473,-17657099,537903249,212435,2022,11,14,15,27,20
2474,-17657092,537903253,212388,2022,11,14,15,27,21
2475,-17657102,537903250,212440,2022,11,14,15,27,22
2476,-17657127,537903242,212605,2022,11,14,15,27,24
2477,-17657139,537903240,212682,2022,11,14,15,27,25
2478,-17657152,537903238,212746,2022,11,14,15,27,27
2479,-17657140,537903247,212651,2022,11,14,15,27,28
2480,-17657137,537903251,212624,2022,11,14,15,27,29
2481,-17657126,537903259,212540,2022,11,14,15,27,30
2482,-17657121,537903263,212504,2022,11,14,15,27,31
2483,-17657107,537903273,212401,2022,11,14,15,27,32
2484,-17657106,537903275,212408,2022,11,14,15,27,33
2485,-17657106,537903276,212418,2022,11,14,15,27,34
2486,-17657104,537903278,212423,2022,11,14,15,27,35
2487,-17657099,537903281,212403,2022,11,14,15,27,36
2488,-17657090,537903287,212351,2022,11,14,15,27,37
2489,-17657083,537903291,212318,2022,11,14,15,27,38
2490,-17657085,537903289,212361,2022,11,14,15,27,39
2491,-17657084,537903290,212384,2022,11,14,15,27,40
2492,-17657078,537903294,212375,2022,11,14,15,27,41
2493,-17657080,537903293,212387,2022,11,14,15,27,42
2494,-17657085,537903291,212429,2022,11,14,15,27,43
2495,-17657097,537903286,212520,2022,11,14,15,27,44
2496,-17657101,537903286,212543,2022,11,14,15,27,45
2497,-17657102,537903288,212545,2022,11,14,15,27,46
2498,-17657111,537903284,212583,2022,11,14,15,27,47
2499,-17657120,537903280,212613,2022,11,14,15,27,48
2500,-17657118,537903282,212583,2022,11,14,15,27,49
2501,-17657125,537903279,212615,2022,11,14,15,27,50
2502,-17657133,537903275,212644,2022,11,14,15,27,51
2503,-17657127,537903279,212594,2022,11,14,15,27,52
2504,-17657131,537903276,212604,2022,11,14,15,27,53
2505,-17657119,537903282,212539,2022,11,14,15,27,54
2506,-17657117,537903281,212550,2022,11,14,15,27,55
2507,-17657107,537903282,212546,2022,11,14,15,27,57
2508,-17657102,537903282,212536,2022,11,14,15,27,58
2509,-17657110,537903274,212651,2022,11,14,15,28,0
2510,-17657105,537903272,212665,2022,11,14,15,28,1
2511,-17657109,537903266,212734,2022,11,14,15,28,2
2512,-17657119,537903256,212850,2022,11,14,15,28,3
2513,-17657119,537903255,212879,2022,11,14,15,28,4
2514,-17657125,537903251,212959,2022,11,14,15,28,5
2515,-17657142,537903242,213093,2022,11,14,15,28,6
2516,-17657165,537903229,213263,2022,11,14,15,28,7
2517,-17657189,537903215,213454,2022,11,14,15,28,8
2518,-17657202,537903207,213580,2022,11,14,15,28,9
2519,-17657236,537903189,213892,2022,11,14,15,28,11
2520,-17657259,537903176,214108,2022,11,14,15,28,12
2521,-17657273,537903168,214256,2022,11,14,15,28,13
2522,-17657286,537903161,214406,2022,11,14,15,28,14
2523,-17657300,537903153,214558,2022,11,14,15,28,15
2524,-17657300,537903151,214605,2022,11,14,15,28,16
2525,-17657312,537903144,214730,2022,11,14,15,28,17
2526,-17657330,537903133,214890,2022,11,14,15,28,18
2527,-17657344,537903124,215040,2022,11,14,15,28,19
2528,-17657362,537903112,215226,2022,11,14,15,28,20
2529,-17657373,537903105,215379,2022,11,14,15,28,21
2530,-17657390,537903094,215549,2022,11,14,15,28,22
2531,-17657404,537903086,215700,2022,11,14,15,28,23
2532,-17657416,537903080,215827,2022,11,14,15,28,24
2533,-17657429,537903074,215945,2022,11,14,15,28,25
2534,-17657443,537903068,216070,2022,11,14,15,28,26
2535,-17657450,537903067,216136,2022,11,14,15,28,27
2536,-17657461,537903064,216210,2022,11,14,15,28,28
2537,-17657459,537903069,216152,2022,11,14,15,28,30
2538,-17657461,537903069,216154,2022,11,14,15,28,31
2539,-17657463,537903070,216150,2022,11,14,15,28,32
2540,-17657464,537903072,216134,2022,11,14,15,28,33
2541,-17657453,537903079,216074,2022,11,14,15,28,34
2542,-17657442,537903087,216020,2022,11,14,15,28,35
2543,-17657431,537903093,215975,2022,11,14,15,28,36
2544,-17657415,537903101,215915,2022,11,14,15,28,37
2545,-17657410,537903102,215953,2022,11,14,15,28,38
2546,-17657407,537903102,215995,2022,11,14,15,28,39
2547,-17657391,537903109,215953,2022,11,14,15,28,40
2548,-17657375,537903116,215913,2022,11,14,15,28,41
2549,-17657360,537903123,215880,2022,11,14,15,28,42
