id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
4858,-17658022,537902139,228071,2022,11,14,16,10,0
4859,-17658035,537902132,228189,2022,11,14,16,10,1
4860,-17658048,537902124,228281,2022,11,14,16,10,2
4861,-17658056,537902121,228321,2022,11,14,16,10,3
4862,-17658063,537902118,228333,2022,11,14,16,10,4
4863,-17658071,537902114,228358,2022,11,14,16,10,5
4864,-17658082,537902110,228392,2022,11,14,16,10,6
4865,-17658091,537902109,228382,2022,11,14,16,10,7
4866,-17658100,537902107,228369,2022,11,14,16,10,8
4867,-17658114,537902099,228450,2022,11,14,16,10,9
4868,-17658126,537902091,228526,2022,11,14,16,10,10
4869,-17658137,537902084,228592,2022,11,14,16,10,11
4870,-17658141,537902085,228543,2022,11,14,16,10,12
4871,-17658142,537902089,228433,2022,11,14,16,10,13
4872,-17658139,537902103,228228,2022,11,14,16,10,14
4873,-17658135,537902116,228045,2022,11,14,16,10,15
4874,-17658132,537902130,227845,2022,11,14,16,10,16
4875,-17658131,537902142,227698,2022,11,14,16,10,17
4876,-17658128,537902156,227560,2022,11,14,16,10,18
4877,-17658126,537902170,227398,2022,11,14,16,10,19
4878,-17658123,537902184,227231,2022,11,14,16,10,20
4879,-17658120,537902197,227046,2022,11,14,16,10,21
4880,-17658119,537902210,226858,2022,11,14,16,10,22
4881,-17658119,537902222,226711,2022,11,14,16,10,23
4882,-17658119,537902234,226578,2022,11,14,16,10,24
4883,-17658126,537902244,226461,2022,11,14,16,10,25
4884,-17658128,537902254,226335,2022,11,14,16,10,26
4885,-17658129,537902264,226221,2022,11,14,16,10,27
4886,-17658132,537902274,226089,2022,11,14,16,10,28
4887,-17658134,537902282,225945,2022,11,14,16,10,29
4888,-17658132,537902295,225821,2022,11,14,16,10,30
4889,-17658129,537902306,225661,2022,11,14,16,10,31
4890,-17658124,537902316,225495,2022,11,14,16,10,32
4891,-17658119,537902327,225330,2022,11,14,16,10,33
4892,-17658114,537902336,225171,2022,11,14,16,10,34
4893,-17658106,537902346,224997,2022,11,14,16,10,35
4894,-17658096,537902357,224817,2022,11,14,16,10,36
4895,-17658090,537902364,224712,2022,11,14,16,10,37
4896,-17658084,537902371,224598,2022,11,14,16,10,38
4897,-17658071,537902383,224443,2022,11,14,16,10,39
4898,-17658072,537902384,224423,2022,11,14,16,10,40
4899,-17658068,537902392,224320,2022,11,14,16,10,41
4900,-17658066,537902398,224251,2022,11,14,16,10,42
4901,-17658064,537902403,224144,2022,11,14,16,10,43
4902,-17658060,537902411,224036,2022,11,14,16,10,44
